MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
GrovePine_MountainGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_MountainGrove_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_MountainGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_MountainGrove_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_MountainGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_MountainGrove_DismantleActions[6].ActionName,Climb Down,降りる
GrovePine_MountainGrove_DismantleActions[6].ActionDescription,... to Dead Hollow,・・・枯れた窪地へ
GrovePine_MountainGrove_DismantleActions[4].ActionName,North,北
GrovePine_MountainGrove_DismantleActions[4].FadeMessage,Travelling North...,北へ移動中・・・
GrovePine_MountainGrove_DismantleActions[3].ActionName,East,東
GrovePine_MountainGrove_DismantleActions[3].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_MountainGrove_DismantleActions[5].ActionName,South,南
GrovePine_MountainGrove_DismantleActions[5].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_MountainGrove_AlternateDismantleActions[0].ActionName,North,北
GrovePine_MountainGrove_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_MountainGrove_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_MountainGrove_AlternateDismantleActions[1].ActionName,East,東
GrovePine_MountainGrove_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_MountainGrove_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_MountainGrove_AlternateDismantleActions[2].ActionName,South,南
GrovePine_MountainGrove_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_MountainGrove_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_OldHollow_CardName,Old Hollow,古き窪地
GrovePine_OldHollow_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels..",<b>松林：\n</b>\n\n<b>環境:</b>酸性土壌。\n\n<b>植物:</b>松、ヒーラーモス、ファイアルート、ビルベリー（夏）、松の実（秋）、ベニテングタケ\n\n<b>動物:</b>リス。
GrovePine_OldHollow_SpecialDurability1.CardStatName,Trees,木
GrovePine_OldHollow_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_OldHollow_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_OldHollow_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_OldHollow_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_OldHollow_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_OldHollow_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_OldHollow_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_OldHollow_OnStatsChangeActions[0].ActionName,Create Small Pine Tree,小さい松の木を作る
GrovePine_OldHollow_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_OldHollow_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_OldHollow_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_OldHollow_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_OldHollow_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_OldHollow_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_OldHollow_DismantleActions[2].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_OldHollow_DismantleActions[3].ActionName,South,南
GrovePine_OldHollow_DismantleActions[3].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_OldHollow_AlternateDismantleActions[0].ActionName,South,南
GrovePine_OldHollow_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_OldHollow_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PeacefullGroveQWR_CardName,Peaceful Grove,静かな林
GrovePine_PeacefullGroveQWR_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels.",<b>松の林：</b>\n\n<b>状態：</b>酸性土壌\n\n<b>植生：</b>松、回復コケ、ファイヤールート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n\n<b>棲息：</b>リス。
GrovePine_PeacefullGroveQWR_SpecialDurability1.CardStatName,Trees,木
GrovePine_PeacefullGroveQWR_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_PeacefullGroveQWR_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_PeacefullGroveQWR_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_PeacefullGroveQWR_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_PeacefullGroveQWR_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_PeacefullGroveQWR_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_PeacefullGroveQWR_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_PeacefullGroveQWR_OnStatsChangeActions[0].ActionName,Create Small Pine Tree,小さい松の木を作る
GrovePine_PeacefullGroveQWR_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_PeacefullGroveQWR_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_PeacefullGroveQWR_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_PeacefullGroveQWR_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_PeacefullGroveQWR_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_PeacefullGroveQWR_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_PeacefullGroveQWR_DismantleActions[2].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_PeacefullGroveQWR_DismantleActions[3].ActionName,North,北
GrovePine_PeacefullGroveQWR_DismantleActions[3].FadeMessage,Travelling North...,北へ移動中・・・
GrovePine_PeacefullGroveQWR_DismantleActions[4].ActionName,East,東
GrovePine_PeacefullGroveQWR_DismantleActions[4].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_PeacefullGroveQWR_DismantleActions[5].ActionName,South,南
GrovePine_PeacefullGroveQWR_DismantleActions[5].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_PeacefulGrove_AlternateDismantleActions[0].ActionName,North,北
GrovePine_PeacefulGrove_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PeacefulGrove_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PeacefulGrove_AlternateDismantleActions[1].ActionName,East,東
GrovePine_PeacefulGrove_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PeacefulGrove_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PeacefulGrove_AlternateDismantleActions[2].ActionName,South,南
GrovePine_PeacefulGrove_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PeacefulGrove_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PineGroveQWR_CardName,Pine Grove,松林
GrovePine_PineGroveQWR_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels..",<b>松林：\n</b>\n\n<b>環境:</b>酸性土壌。\n\n<b>植物:</b>松、ヒーラーモス、ファイアルート、ビルベリー（夏）、松の実（秋）、ベニテングタケ\n\n<b>動物:</b>リス。
GrovePine_PineGroveQWR_SpecialDurability1.CardStatName,Trees,木
GrovePine_PineGroveQWR_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_PineGroveQWR_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_PineGroveQWR_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_PineGroveQWR_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_PineGroveQWR_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_PineGroveQWR_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_PineGroveQWR_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_PineGroveQWR_OnStatsChangeActions[0].ActionName,Create Small Pine Tree,小さい松の木を作る
GrovePine_PineGroveQWR_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_PineGroveQWR_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_PineGroveQWR_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_PineGroveQWR_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_PineGroveQWR_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_PineGroveQWR_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_PineGroveQWR_DismantleActions[2].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_PineGroveQWR_DismantleActions[5].ActionName,North,北
GrovePine_PineGroveQWR_DismantleActions[5].FadeMessage,Travelling North...,北へ移動中・・・
GrovePine_PineGroveQWR_DismantleActions[3].ActionName,East,東
GrovePine_PineGroveQWR_DismantleActions[3].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_PineGroveQWR_DismantleActions[4].ActionName,South,南
GrovePine_PineGroveQWR_DismantleActions[4].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_PineGrove_DismantleActions[6].ActionName,West,西
GrovePine_PineGrove_DismantleActions[6].FadeMessage,Travelling West...,西へ移動中・・・
GrovePine_PineGrove_AlternateDismantleActions[0].ActionName,North,北
GrovePine_PineGrove_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PineGrove_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PineGrove_AlternateDismantleActions[1].ActionName,East,東
GrovePine_PineGrove_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PineGrove_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PineGrove_AlternateDismantleActions[2].ActionName,South,南
GrovePine_PineGrove_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PineGrove_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_PineGrove_AlternateDismantleActions[3].ActionName,West,西
GrovePine_PineGrove_AlternateDismantleActions[3].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_PineGrove_AlternateDismantleActions[3].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyGrove_CardName,Rocky Grove,岩だらけの林
GrovePine_RockyGrove_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels, Badgers.",<b>松の林：</b>\n\n<b>状態：</b>酸性土壌\n\n<b>植生：</b>松、回復コケ、ファイヤールート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n\n<b>棲息：</b>リス、アナグマ。
GrovePine_RockyGrove_SpecialDurability1.CardStatName,Trees,木
GrovePine_RockyGrove_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_RockyGrove_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_RockyGrove_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_RockyGrove_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_RockyGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_RockyGrove_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_RockyGrove_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_RockyGrove_OnStatsChangeActions[1].ActionName,Create Large Tree,大きな木を作る
GrovePine_RockyGrove_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_RockyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_RockyGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_RockyGrove_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_RockyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_RockyGrove_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_RockyGrove_DismantleActions[2].ActionDescription,"Gives you wood, leaves and stones.",木材と葉っぱと石が手に入る。
GrovePine_RockyGrove_DismantleActions[4].ActionName,East,東
GrovePine_RockyGrove_DismantleActions[4].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_RockyGrove_DismantleActions[5].ActionName,South,南
GrovePine_RockyGrove_DismantleActions[5].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_RockyGrove_DismantleActions[3].ActionName,West,西
GrovePine_RockyGrove_DismantleActions[3].FadeMessage,Travelling West...,西へ移動中・・・
GrovePine_RockyGrove_AlternateDismantleActions[0].ActionName,East,東
GrovePine_RockyGrove_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyGrove_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyGrove_AlternateDismantleActions[1].ActionName,South,南
GrovePine_RockyGrove_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyGrove_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyGrove_AlternateDismantleActions[2].ActionName,West,西
GrovePine_RockyGrove_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyGrove_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyPines_CardName,Rocky Pines,岩だらけの松の林
GrovePine_RockyPines_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels, Bears.",<b>松の林：</b>\n\n<b>状態：</b>酸性土壌\n\n<b>植生：</b>松、回復コケ、ファイヤールート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n\n<b>棲息：</b>リス。
GrovePine_RockyPines_SpecialDurability1.CardStatName,Trees,木
GrovePine_RockyPines_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_RockyPines_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_RockyPines_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_RockyPines_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_RockyPines_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_RockyPines_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_RockyPines_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_RockyPines_OnStatsChangeActions[1].ActionName,Create Large Tree,大きな木を作る
GrovePine_RockyPines_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_RockyPines_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_RockyPines_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_RockyPines_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_RockyPines_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_RockyPines_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_RockyPines_DismantleActions[2].ActionDescription,"Gives you wood, leaves and stones.",木材と葉っぱと石が手に入る。
GrovePine_RockyPines_DismantleActions[4].ActionName,East,東
GrovePine_RockyPines_DismantleActions[4].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_RockyPines_DismantleActions[5].ActionName,South,南
GrovePine_RockyPines_DismantleActions[5].FadeMessage,Travelling South...,南へ移動中・・・
GrovePine_RockyPines_DismantleActions[3].ActionName,West,西
GrovePine_RockyPines_DismantleActions[3].FadeMessage,Travelling West...,西へ移動中・・・
GrovePine_RockyPines_AlternateDismantleActions[0].ActionName,East,東
GrovePine_RockyPines_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyPines_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyPines_AlternateDismantleActions[1].ActionName,South,南
GrovePine_RockyPines_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyPines_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_RockyPines_AlternateDismantleActions[2].ActionName,West,西
GrovePine_RockyPines_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_RockyPines_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_SlopedGrove_CardName,Sloped Grove,傾斜してる林
GrovePine_SlopedGrove_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels, Badgers.",<b>松の林：</b>\n\n<b>状態：</b>酸性土壌\n\n<b>植生：</b>松、回復コケ、ファイヤールート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n\n<b>棲息：</b>リス、アナグマ。
GrovePine_SlopedGrove_SpecialDurability1.CardStatName,Trees,木
GrovePine_SlopedGrove_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_SlopedGrove_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_SlopedGrove_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_SlopedGrove_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_SlopedGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_SlopedGrove_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_SlopedGrove_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_SlopedGrove_OnStatsChangeActions[1].ActionName,Create Large Tree,大きな木を作る
GrovePine_SlopedGrove_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_SlopedGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_SlopedGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_SlopedGrove_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_SlopedGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_SlopedGrove_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_SlopedGrove_DismantleActions[2].ActionDescription,"Gives you wood, leaves and stones.",木材と葉っぱと石が手に入る。
GrovePine_SlopedGrove_DismantleActions[5].ActionName,North,北
GrovePine_SlopedGrove_DismantleActions[5].FadeMessage,Travelling North...,北へ移動中・・・
GrovePine_SlopedGrove_DismantleActions[4].ActionName,East,東
GrovePine_SlopedGrove_DismantleActions[4].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_SlopedGrove_DismantleActions[3].ActionName,West,西
GrovePine_SlopedGrove_DismantleActions[3].FadeMessage,Travelling West...,西へ移動中・・・
GrovePine_SlopedGrove_AlternateDismantleActions[0].ActionName,North,北
GrovePine_SlopedGrove_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_SlopedGrove_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_SlopedGrove_AlternateDismantleActions[1].ActionName,East,東
GrovePine_SlopedGrove_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_SlopedGrove_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_SlopedGrove_AlternateDismantleActions[2].ActionName,West,西
GrovePine_SlopedGrove_AlternateDismantleActions[2].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_SlopedGrove_AlternateDismantleActions[2].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_SwayingPinesQWE_CardName,Swaying Pines,そよぐ松林
GrovePine_SwayingPinesQWE_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil. Windy.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Bear.",<b>松林：\n</b>\n\n<b>環境：</b>酸性土壌。風が強い。\n\n<b>植物：</b>松、ヒーラーモス、ファイアルート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n<b>動物：</b>クマ。
GrovePine_SwayingPinesQWE_SpecialDurability1.CardStatName,Trees,木
GrovePine_SwayingPinesQWE_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_SwayingPinesQWE_SpecialDurability3.CardStatName,Foraging,資源集め
GrovePine_SwayingPinesQWE_CardInteractions[0].ActionName,Chop Wood,木を切る
GrovePine_SwayingPinesQWE_CardInteractions[1].ActionName,Chop Wood,木を切る
GrovePine_SwayingPinesQWE_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
GrovePine_SwayingPinesQWE_CardInteractions[2].ActionName,Shovel Snow,雪かきする
GrovePine_SwayingPinesQWE_CardInteractions[3].ActionName,Shovel Snow,雪かきする
GrovePine_SwayingPinesQWE_OnStatsChangeActions[0].ActionName,Create Small Pine Tree,小さい松の木を作る
GrovePine_SwayingPinesQWE_DismantleActions[0].ActionName,Forage,資源を集める
GrovePine_SwayingPinesQWE_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,食料とハーブを入手できる。
GrovePine_SwayingPinesQWE_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,もう採取できる物がない。
GrovePine_SwayingPinesQWE_DismantleActions[1].ActionName,Clear,柴刈り
GrovePine_SwayingPinesQWE_DismantleActions[1].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_SwayingPinesQWE_DismantleActions[2].ActionName,Clear,柴刈り
GrovePine_SwayingPinesQWE_DismantleActions[2].ActionDescription,Gives you wood and leaves.,木材と葉っぱが手に入る。
GrovePine_SwayingPinesQWE_DismantleActions[3].ActionName,East,東
GrovePine_SwayingPinesQWE_DismantleActions[3].FadeMessage,Travelling East...,東へ移動中・・・
GrovePine_SwayingPinesQWE_DismantleActions[4].ActionName,West,西
GrovePine_SwayingPinesQWE_DismantleActions[4].FadeMessage,Travelling West...,西へ移動中・・・
GrovePine_SwayingPines_AlternateDismantleActions[0].ActionName,East,東
GrovePine_SwayingPines_AlternateDismantleActions[0].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_SwayingPines_AlternateDismantleActions[0].FadeMessage,Travelling in the dark...,暗闇を進む・・・
GrovePine_SwayingPines_AlternateDismantleActions[1].ActionName,West,西
GrovePine_SwayingPines_AlternateDismantleActions[1].CustomConfirmText,"It's dark, and you may get lost. Are you sure?",暗い・・・迷ってしまうかもしれない。本当に進むのか？
GrovePine_SwayingPines_AlternateDismantleActions[1].FadeMessage,Travelling in the dark...,暗闇を進む・・・
ThicketPine_WesternWildWoods_CardName,Western Wild Woods,西の荒森
ThicketPine_WesternWildWoods_CardHelpSection,"<b>Pine Grove:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Pines, Healer's Moss, Fireroot, Bilberries (summer), Pine Nuts (autumn), Fly Agaric.\n\n<b>Fauna:</b> Squirrels.",<b>松の林：</b>\n\n<b>状態：</b>酸性土壌\n\n<b>植生：</b>松、回復コケ、ファイヤールート、ビルベリー（夏）、松の実（秋）、ベニテングタケ。\n\n\n<b>棲息：</b>リス。
GrovePine_WesternWildWoods_SpecialDurability1.CardStatName,Trees,木
GrovePine_WesternWildWoods_SpecialDurability2.CardStatName,Overgrowth,茂み
GrovePine_WesternWildWoods_SpecialDurability3.CardStatName,Foraging,資源集め
ThicketPine_WesternWildWoods_CardInteractions[0].ActionName,Chop Wood,木を切る
ThicketPine_WesternWildWoods_CardInteractions[1].ActionName,Chop Wood,木を切る
ThicketPine_WesternWildWoods_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,エリアの木が足りない。
ThicketPine_WesternWildWoods_CardInteractions[2].ActionName,Shovel Snow,雪かきする
ThicketPine_WesternWildWoods_CardInteractions[3].ActionName,Shovel Snow,雪かきする
ThicketPine_WesternWildWoods_OnStatsChangeActions[0].ActionName,Create Small Pine Tree,小さい松の木を作る
GrovePine_WesternWildWoods_DismantleActions[0].ActionName,Forage,資源を集める
